tekst,dimensioon,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
,subj,0,0,0,0,0,2,0.5,0.5,0.5,1
sport_autonet_ee.ela_515760.txt,abs,0.5,2,0,0.5,0.5,1,0,0.5,0,1
,info,2,3,3,1,3,2,3,0.5,3,1
,aeg,3,3,3,0.5,2,2,3,3,0,3
,afek,0,0.5,1,0.5,1,0.5,1,0.5,0.5,1
,form,2,2,0,0,0,2,2,2,0,1
,inter,0,0.5,2,0,0,0,0.5,0,3,0
,spont,0,0,0,0,2,0,0,0,0,0
,imp,3,1,0,0.5,1,3,0,2,0.5,0
,arg,0,0,0,0,0,0.5,0.5,0,0.5,0
,inst,0,0.5,0,1,3,0.5,0,0,1,0
,keer,0.5,1,0.5,2,2,1,0.5,1,0.5,1
,subj,0,0,0,0,0,0.5,0,0,0,0
www_politsei_ee.ela_163441.txt,abs,1,0.5,0.5,0.5,1,0,0,0.5,0,0
,info,3,3,3,3,3,2,2,3,1,2
,aeg,3,2,3,2,3,2,3,0,1,0.5
,afek,0,0,0,0,0,0,0,0,0,0
,form,3,1,2,1,1,2,3,3,3,1
,inter,2,0.5,0,0,0,0,0,0,0,0
,spont,0,0,0,1,2,0,0,0,0,0.5
,imp,3,3,1,0.5,2,1,1,0.5,3,1
,arg,0,0,0,0,0,2,1,0,0,0
,inst,0,0,0,0,0,0,0,0,3,0
,keer,0,0,0,0,1,0,0,0,0.5,1
,subj,1,0.5,1,0.5,0.5,0,0,0,0,0
arvamusaed_ee.ela_6007.txt,abs,1,0.5,0,0.5,0,1,1,2,0,0
,info,0.5,1,0.5,2,0,0.5,0.5,1,0,0.5
,aeg,0,0,1,2,0.5,0.5,1,1,0,2
,afek,2,1,2,2,1,0.5,1,0.5,1,1
,form,0,0.5,0,0,0,0,1,2,1,0
,inter,1,2,0,0,0,0,0.5,0,1,0
,spont,0,0,1,0,0,1,0,0,0,0
,imp,1,1,1,0.5,1,0,2,3,2,0
,arg,2,2,2,2,2,1,3,2,2,0.5
,inst,0,0,1,0,0,2,0,0,0,0
,keer,0,0,0,0,0,0,0,0,0,0.5
,subj,3,2,3,2,2,2,3,2,2,1
