tekst,dimensioon,vastaja 1,vastaja 2,vastaja 3,vastaja 4,vastaja 5,vastaja 6,vastaja 7,vastaja 8,vastaja 9,vastaja 10,võrdlused
,subjektiivsus,2,2,3,3,1,,,,,,www_meiekirik_ee.ela_286284.txt eok_ee.ela_435890.txt
,spontaansus,1,2,,,,,,,,,www_meiekirik_ee.ela_286284.txt
,impersonaalsus,3,3,3,2,3,3,2,1,2,,rahvahaal_delfi_ee.ela_135048.txt www_meiekirik_ee.ela_286284.txt
,argumentatiivsus,3,2,2,2,3,3,2,3,,,rahvahaal_delfi_ee.ela_135048.txt www_meiekirik_ee.ela_286284.txt
video_usk_ee.ela_152445.txt,abstraktsus,3,2,1,2,,,,,,,kalah_zzz_ee.ela_52237.txt blog_maaleht_ee.ela_73268.txt
,infotihedus,2,,,,,,,,,,kalah_zzz_ee.ela_52237.txt
,aja olulisus,1,,,,,,,,,,kalah_zzz_ee.ela_52237.txt
,afektiivsus,2,1,1,1,1,1,1,,,,kalah_zzz_ee.ela_52237.txt www_director_ee.ela_529643.txt
,formaalsus,1,,,,,,,,,,kalah_zzz_ee.ela_52237.txt
,interaktiivsus,1,1,,,,,,,,,kalah_zzz_ee.ela_52237.txt
,instrueerivus,1,,,,,,,,,,www_kv_ee.ela_199481.txt
,keerukus,2,,,,,,,,,,www_kv_ee.ela_199481.txt
,subjektiivsus,3,2,3,2,3,2,2,2,2,2,blog_maaleht_ee.ela_73268.txt www_kv_ee.ela_199481.txt
,spontaansus,1,1,,,,,,,,,www_director_ee.ela_529643.txt
,impersonaalsus,2,2,2,2,,,,,,,www_director_ee.ela_529643.txt
,argumentatiivsus,3,2,2,2,3,3,1,2,3,,www_kv_ee.ela_199481.txt www_director_ee.ela_529643.txt
ylle_mrt_ee.ela_101705.txt,abstraktsus,2,1,2,2,2,1,,,,,sport_autonet_ee.ela_515760.txt rahvahaal_delfi_ee.ela_499379.txt
,infotihedus,1,1,2,,,,,,,,rahvahaal_delfi_ee.ela_499379.txt
,aja olulisus,2,1,1,2,3,,,,,,sport_autonet_ee.ela_515760.txt rahvahaal_delfi_ee.ela_499379.txt
,afektiivsus,2,3,2,2,3,3,2,3,3,3,arhiiv_koolielu_ee.ela_481254.txt sport_autonet_ee.ela_515760.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,1,2,,,,,,,,arhiiv_koolielu_ee.ela_481254.txt sport_autonet_ee.ela_515760.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,1,,,,,,,,,rahvahaal_delfi_ee.ela_499379.txt
,subjektiivsus,3,3,3,3,3,3,3,2,3,3,www_bsd_ee.ela_638246.txt rahvahaal_delfi_ee.ela_499379.txt
,spontaansus,3,3,2,1,3,1,3,1,2,,arhiiv_koolielu_ee.ela_481254.txt www_bsd_ee.ela_638246.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,2,1,3,3,2,1,2,2,,,arhiiv_koolielu_ee.ela_481254.txt www_bsd_ee.ela_638246.txt
sport_autonet_ee.ela_515760.txt,abstraktsus,2,1,,,,,,,,,ylle_mrt_ee.ela_101705.txt valitsus_ee.ela_604239.txt
,infotihedus,2,3,3,1,3,2,3,3,,,ylle_mrt_ee.ela_101705.txt valitsus_ee.ela_604239.txt
,aja olulisus,3,3,3,2,2,3,3,3,,,ylle_mrt_ee.ela_101705.txt valitsus_ee.ela_604239.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,2,1,2,2,,,,,ylle_mrt_ee.ela_101705.txt arvamusaed_ee.ela_274676.txt
,interaktiivsus,3,2,,,,,,,,,ylle_mrt_ee.ela_101705.txt arvamusaed_ee.ela_274676.txt
,instrueerivus,3,,,,,,,,,,valitsus_ee.ela_604239.txt
,keerukus,1,2,2,1,1,1,,,,,valitsus_ee.ela_604239.txt et_wikipedia_org.ela_519819.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,2,,,,,,,,,,et_wikipedia_org.ela_519819.txt
,impersonaalsus,3,2,3,1,,,,,,,arvamusaed_ee.ela_274676.txt et_wikipedia_org.ela_519819.txt
,argumentatiivsus,,,,,,,,,,,
www_eestikirik_ee.ela_530609.txt,abstraktsus,3,3,3,3,2,3,2,3,3,,www_jeesusekristusekirik_ee.ela_65555.txt www_puuinfo_ee.ela_279876.txt
,infotihedus,1,,,,,,,,,,www_jeesusekristusekirik_ee.ela_65555.txt
,aja olulisus,1,,,,,,,,,,www_puuinfo_ee.ela_279876.txt
,afektiivsus,2,2,1,3,1,1,,,,,www_linnateater_ee.ela_612249.txt www_puuinfo_ee.ela_279876.txt
,formaalsus,1,1,,,,,,,,,www_linnateater_ee.ela_612249.txt
,interaktiivsus,2,3,,,,,,,,,www_puuinfo_ee.ela_279876.txt
,instrueerivus,2,3,2,2,2,2,,,,,www_mulje_ee.ela_177932.txt www_jeesusekristusekirik_ee.ela_65555.txt
,keerukus,2,2,2,1,,,,,,,www_mulje_ee.ela_177932.txt www_jeesusekristusekirik_ee.ela_65555.txt
,subjektiivsus,2,1,2,2,2,1,,,,,www_mulje_ee.ela_177932.txt www_jeesusekristusekirik_ee.ela_65555.txt
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,2,2,,,,,,,,www_mulje_ee.ela_177932.txt www_linnateater_ee.ela_612249.txt
,argumentatiivsus,1,3,3,1,1,3,,,,,www_mulje_ee.ela_177932.txt www_linnateater_ee.ela_612249.txt
www_puuinfo_ee.ela_279876.txt,abstraktsus,3,2,2,,,,,,,,www_eestikirik_ee.ela_530609.txt www_kv_ee.ela_199481.txt
,infotihedus,2,2,3,2,3,3,1,,,,www_eestikirik_ee.ela_530609.txt www_kv_ee.ela_199481.txt
,aja olulisus,1,1,1,,,,,,,,www_eestikirik_ee.ela_530609.txt www_kv_ee.ela_199481.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,2,2,1,2,1,1,,,www_eestikirik_ee.ela_530609.txt kaja_ekstreem_ee.ela_71641.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,1,3,1,2,1,,,,,www_ajakiri_ut_ee.ela_429007.txt www_kv_ee.ela_199481.txt
,keerukus,2,2,3,2,1,1,1,,,,www_ajakiri_ut_ee.ela_429007.txt www_kv_ee.ela_199481.txt
,subjektiivsus,1,1,,,,,,,,,www_ajakiri_ut_ee.ela_429007.txt
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,3,3,3,2,2,2,,,,www_ajakiri_ut_ee.ela_429007.txt kaja_ekstreem_ee.ela_71641.txt
,argumentatiivsus,2,3,2,2,2,3,2,1,1,,www_ajakiri_ut_ee.ela_429007.txt kaja_ekstreem_ee.ela_71641.txt
www_emta_ee.ela_522725.txt,abstraktsus,3,2,2,2,3,,,,,,mesindus_ee.ela_210638.txt www_epl_ee.ela_679018.txt
,infotihedus,2,3,3,2,2,2,2,2,3,,mesindus_ee.ela_210638.txt www_epl_ee.ela_679018.txt
,aja olulisus,2,1,,,,,,,,,mesindus_ee.ela_210638.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,3,3,3,3,3,3,3,3,bhr_balanss_ee.ela_565106.txt www_epl_ee.ela_679018.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,3,3,2,3,3,,,,,mesindus_ee.ela_210638.txt forte_delfi_ee.ela_88079.txt
,keerukus,2,2,2,3,3,3,3,2,3,1,mesindus_ee.ela_210638.txt forte_delfi_ee.ela_88079.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,3,,,,,,,,,,forte_delfi_ee.ela_88079.txt
,impersonaalsus,3,2,3,2,3,3,3,3,,,bhr_balanss_ee.ela_565106.txt forte_delfi_ee.ela_88079.txt
,argumentatiivsus,3,,,,,,,,,,bhr_balanss_ee.ela_565106.txt
www_epl_ee.ela_679018.txt,abstraktsus,1,2,,,,,,,,,www_epl_ee.ela_495381.txt
,infotihedus,1,,,,,,,,,,www_emta_ee.ela_522725.txt
,aja olulisus,1,2,1,2,1,,,,,,www_emta_ee.ela_522725.txt
,afektiivsus,1,,,,,,,,,,www_emta_ee.ela_522725.txt
,formaalsus,2,3,2,2,1,,,,,,et_wikipedia_org.ela_219301.txt
,interaktiivsus,2,1,1,1,,,,,,,www_emta_ee.ela_522725.txt et_wikipedia_org.ela_219301.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,2,2,1,1,1,1,2,2,,www_nami-nami_ee.ela_173054.txt www_epl_ee.ela_495381.txt
,subjektiivsus,1,,,,,,,,,,www_nami-nami_ee.ela_173054.txt
,spontaansus,2,,,,,,,,,,et_wikipedia_org.ela_219301.txt
,impersonaalsus,3,3,1,,,,,,,,www_nami-nami_ee.ela_173054.txt
,argumentatiivsus,1,1,2,1,1,1,,,,,www_nami-nami_ee.ela_173054.txt et_wikipedia_org.ela_219301.txt
bhr_balanss_ee.ela_565106.txt,abstraktsus,2,1,1,2,1,1,1,2,,,www_soudeliit_ee.ela_547578.txt blog_maaleht_ee.ela_73268.txt
,infotihedus,1,3,2,1,,,,,,,www_soudeliit_ee.ela_547578.txt blog_maaleht_ee.ela_73268.txt
,aja olulisus,1,,,,,,,,,,blog_maaleht_ee.ela_73268.txt
,afektiivsus,1,1,2,1,1,,,,,,blog_maaleht_ee.ela_73268.txt www_emta_ee.ela_522725.txt
,formaalsus,2,,,,,,,,,,blog_maaleht_ee.ela_73268.txt
,interaktiivsus,2,,,,,,,,,,www_emta_ee.ela_522725.txt
,instrueerivus,1,1,,,,,,,,,www_soudeliit_ee.ela_547578.txt www_vsport_ee.ela_120496.txt
,keerukus,1,2,2,,,,,,,,www_soudeliit_ee.ela_547578.txt www_vsport_ee.ela_120496.txt
,subjektiivsus,2,1,1,3,2,,,,,,www_soudeliit_ee.ela_547578.txt www_vsport_ee.ela_120496.txt
,spontaansus,1,1,1,2,,,,,,,www_emta_ee.ela_522725.txt
,impersonaalsus,2,,,,,,,,,,www_vsport_ee.ela_120496.txt
,argumentatiivsus,2,1,3,1,2,2,2,,,,www_emta_ee.ela_522725.txt www_vsport_ee.ela_120496.txt
blog_maaleht_ee.ela_73268.txt,abstraktsus,2,1,,,,,,,,,bhr_balanss_ee.ela_565106.txt video_usk_ee.ela_152445.txt
,infotihedus,2,2,2,1,3,2,,,,,bhr_balanss_ee.ela_565106.txt video_usk_ee.ela_152445.txt
,aja olulisus,1,2,2,2,2,3,3,,,,bhr_balanss_ee.ela_565106.txt video_usk_ee.ela_152445.txt
,afektiivsus,2,2,2,2,,,,,,,bhr_balanss_ee.ela_565106.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,1,,,,,,,,,bhr_balanss_ee.ela_565106.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,1,1,1,,,,,,,video_usk_ee.ela_152445.txt rahvahaal_delfi_ee.ela_499379.txt
,subjektiivsus,2,2,3,,,,,,,,rahvahaal_delfi_ee.ela_499379.txt
,spontaansus,1,1,1,1,,,,,,,www_kasutatudraamat_ee.ela_68759.txt rahvahaal_delfi_ee.ela_499379.txt
,impersonaalsus,2,,,,,,,,,,rahvahaal_delfi_ee.ela_499379.txt
,argumentatiivsus,1,1,1,1,,,,,,,www_kasutatudraamat_ee.ela_68759.txt
www_kasutatudraamat_ee.ela_68759.txt,abstraktsus,1,1,2,,,,,,,,www_employers_ee.ela_617415.txt
,infotihedus,1,2,,,,,,,,,valitsus_ee.ela_480708.txt
,aja olulisus,2,2,2,1,2,,,,,,www_employers_ee.ela_617415.txt valitsus_ee.ela_480708.txt
,afektiivsus,3,2,2,2,3,2,2,2,3,3,www_employers_ee.ela_617415.txt blog_maaleht_ee.ela_73268.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,3,3,2,3,2,3,2,2,,www_employers_ee.ela_617415.txt blog_maaleht_ee.ela_73268.txt
,instrueerivus,,,,,,,,,,,
,keerukus,2,2,1,1,1,,,,,,valitsus_ee.ela_480708.txt kaja_ekstreem_ee.ela_71641.txt
,subjektiivsus,2,3,,,,,,,,,kaja_ekstreem_ee.ela_71641.txt
,spontaansus,3,,,,,,,,,,blog_maaleht_ee.ela_73268.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,1,,,,,,,,,,kaja_ekstreem_ee.ela_71641.txt
www_employers_ee.ela_617415.txt,abstraktsus,2,2,,,,,,,,,herba_folklore_ee.ela_93408.txt www_kasutatudraamat_ee.ela_68759.txt
,infotihedus,2,3,3,2,2,2,,,,,herba_folklore_ee.ela_93408.txt www_kasutatudraamat_ee.ela_68759.txt
,aja olulisus,1,1,1,1,2,2,1,3,,,herba_folklore_ee.ela_93408.txt www_kasutatudraamat_ee.ela_68759.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,2,2,2,1,2,2,,,www_tarbijakaitse_ee.ela_199918.txt www_kasutatudraamat_ee.ela_68759.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,2,2,,,,,,,,,ekspress_online_2020.txt
,keerukus,2,1,2,1,1,,,,,,ekspress_online_2020.txt herba_folklore_ee.ela_93408.txt
,subjektiivsus,1,,,,,,,,,,herba_folklore_ee.ela_93408.txt
,spontaansus,1,,,,,,,,,,www_tarbijakaitse_ee.ela_199918.txt
,impersonaalsus,3,2,2,2,3,1,1,2,,,www_tarbijakaitse_ee.ela_199918.txt ekspress_online_2020.txt
,argumentatiivsus,2,1,3,2,1,1,1,,,,www_tarbijakaitse_ee.ela_199918.txt ekspress_online_2020.txt
reform_ee.ela_24983.txt,abstraktsus,3,1,1,1,2,2,3,,,,nami-nami_ee.ela_372868.txt www_admiralmarkets_ee.ela_333517.txt
,infotihedus,,,,,,,,,,,
,aja olulisus,,,,,,,,,,,
,afektiivsus,1,1,1,1,1,2,1,,,,nami-nami_ee.ela_372868.txt www_tooelu_ee.ela_624263.txt
,formaalsus,2,3,,,,,,,,,nami-nami_ee.ela_372868.txt
,interaktiivsus,1,2,,,,,,,,,www_tooelu_ee.ela_624263.txt
,instrueerivus,1,3,2,2,3,2,2,3,2,,www_admiralmarkets_ee.ela_333517.txt herba_folklore_ee.ela_93408.txt
,keerukus,2,2,,,,,,,,,herba_folklore_ee.ela_93408.txt
,subjektiivsus,2,3,1,1,2,1,1,1,,,www_admiralmarkets_ee.ela_333517.txt herba_folklore_ee.ela_93408.txt
,spontaansus,1,,,,,,,,,,herba_folklore_ee.ela_93408.txt
,impersonaalsus,3,2,2,,,,,,,,herba_folklore_ee.ela_93408.txt www_tooelu_ee.ela_624263.txt
,argumentatiivsus,2,2,3,3,1,2,2,,,,herba_folklore_ee.ela_93408.txt www_tooelu_ee.ela_624263.txt
nami-nami_ee.ela_372868.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,2,3,3,2,2,2,3,,,www_europarl_ee.ela_36110.txt reform_ee.ela_24983.txt
,aja olulisus,3,3,3,3,3,2,3,,,,www_europarl_ee.ela_36110.txt reform_ee.ela_24983.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,2,2,1,,,,,,,www_bioneer_ee.ela_243230.txt reform_ee.ela_24983.txt
,instrueerivus,3,3,3,3,3,3,3,2,3,3,www_europarl_ee.ela_36110.txt www_alphagis_ee.ela_403490.txt
,keerukus,,,,,,,,,,,
,subjektiivsus,2,1,,,,,,,,,www_alphagis_ee.ela_403490.txt
,spontaansus,1,1,1,,,,,,,,www_alphagis_ee.ela_403490.txt www_bioneer_ee.ela_243230.txt
,impersonaalsus,2,3,3,3,,,,,,,www_alphagis_ee.ela_403490.txt www_bioneer_ee.ela_243230.txt
,argumentatiivsus,,,,,,,,,,,
www_nami-nami_ee.ela_173054.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,1,3,3,2,3,3,,,,www_mesindus_ee.ela_33384.txt www_linnaleht_ee.ela_420357.txt
,aja olulisus,3,3,3,3,2,3,2,,,,www_mesindus_ee.ela_33384.txt www_linnaleht_ee.ela_420357.txt
,afektiivsus,2,,,,,,,,,,www_mesindus_ee.ela_33384.txt
,formaalsus,1,,,,,,,,,,www_mesindus_ee.ela_33384.txt
,interaktiivsus,1,2,2,1,,,,,,,www_mesindus_ee.ela_33384.txt www_autoleht_ee.ela_469280.txt
,instrueerivus,3,3,3,3,3,3,3,2,3,3,www_linnaleht_ee.ela_420357.txt www_epl_ee.ela_679018.txt
,keerukus,,,,,,,,,,,
,subjektiivsus,2,,,,,,,,,,www_epl_ee.ela_679018.txt
,spontaansus,1,1,1,1,,,,,,,www_autoleht_ee.ela_469280.txt www_epl_ee.ela_679018.txt
,impersonaalsus,3,3,2,,,,,,,,www_autoleht_ee.ela_469280.txt www_epl_ee.ela_679018.txt
,argumentatiivsus,2,2,,,,,,,,,www_autoleht_ee.ela_469280.txt www_epl_ee.ela_679018.txt
www_mesindus_ee.ela_33384.txt,abstraktsus,1,,,,,,,,,,www_nami-nami_ee.ela_173054.txt
,infotihedus,2,3,,,,,,,,,www_nami-nami_ee.ela_173054.txt www_horsemarket_ee.ela_436247.txt
,aja olulisus,1,3,3,,,,,,,,www_nami-nami_ee.ela_173054.txt www_horsemarket_ee.ela_436247.txt
,afektiivsus,1,1,1,1,,,,,,,www_nami-nami_ee.ela_173054.txt www_hambaarst_ee.ela_475731.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,,,,,,,,,,www_nami-nami_ee.ela_173054.txt
,instrueerivus,2,3,3,3,3,2,3,2,2,2,www_syndikaat_ee.ela_469373.txt www_horsemarket_ee.ela_436247.txt
,keerukus,1,2,1,1,1,1,,,,,www_syndikaat_ee.ela_469373.txt www_horsemarket_ee.ela_436247.txt
,subjektiivsus,2,1,1,1,1,,,,,,www_horsemarket_ee.ela_436247.txt
,spontaansus,1,1,1,,,,,,,,www_syndikaat_ee.ela_469373.txt www_hambaarst_ee.ela_475731.txt
,impersonaalsus,2,2,,,,,,,,,www_syndikaat_ee.ela_469373.txt www_hambaarst_ee.ela_475731.txt
,argumentatiivsus,2,3,2,1,1,2,,,,,www_syndikaat_ee.ela_469373.txt www_hambaarst_ee.ela_475731.txt
www_lounaleht_ee.ela_576969.txt,abstraktsus,1,1,1,,,,,,,,www_vm_ee.ela_81604.txt
,infotihedus,2,,,,,,,,,,rahvahaal_delfi_ee.ela_258274.txt
,aja olulisus,1,1,2,1,2,,,,,,www_vm_ee.ela_81604.txt rahvahaal_delfi_ee.ela_258274.txt
,afektiivsus,1,1,1,,,,,,,,www_vm_ee.ela_81604.txt
,formaalsus,1,2,1,,,,,,,,www_vm_ee.ela_81604.txt et_wikipedia_org.ela_519819.txt
,interaktiivsus,2,1,2,1,1,,,,,,www_vm_ee.ela_81604.txt et_wikipedia_org.ela_519819.txt
,instrueerivus,1,1,,,,,,,,,stiimul_ee.ela_330566.txt
,keerukus,1,1,,,,,,,,,rahvahaal_delfi_ee.ela_258274.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,,,,,,,,,,et_wikipedia_org.ela_519819.txt
,impersonaalsus,2,2,3,2,2,,,,,,stiimul_ee.ela_330566.txt et_wikipedia_org.ela_519819.txt
,argumentatiivsus,2,,,,,,,,,,stiimul_ee.ela_330566.txt
www_vm_ee.ela_81604.txt,abstraktsus,1,,,,,,,,,,et_wikipedia_org.ela_191506.txt
,infotihedus,3,3,3,2,1,2,,,,,et_wikipedia_org.ela_191506.txt www_lounaleht_ee.ela_576969.txt
,aja olulisus,1,2,,,,,,,,,www_lounaleht_ee.ela_576969.txt
,afektiivsus,3,1,1,,,,,,,,www_admiralmarkets_ee.ela_333517.txt www_lounaleht_ee.ela_576969.txt
,formaalsus,1,2,2,3,3,2,,,,,www_admiralmarkets_ee.ela_333517.txt www_lounaleht_ee.ela_576969.txt
,interaktiivsus,1,3,0,,,,,,,,www_admiralmarkets_ee.ela_333517.txt www_lounaleht_ee.ela_576969.txt
,instrueerivus,3,3,3,3,3,3,2,2,3,3,et_wikipedia_org.ela_191506.txt arhiiv_koolielu_ee.ela_481254.txt
,keerukus,1,,,,,,,,,,arhiiv_koolielu_ee.ela_481254.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,1,,,,,,,,,arhiiv_koolielu_ee.ela_481254.txt www_admiralmarkets_ee.ela_333517.txt
,impersonaalsus,1,3,3,3,3,3,,,,,arhiiv_koolielu_ee.ela_481254.txt www_admiralmarkets_ee.ela_333517.txt
,argumentatiivsus,3,2,3,2,3,,,,,,www_admiralmarkets_ee.ela_333517.txt
www_mulje_ee.ela_177932.txt,abstraktsus,3,2,2,1,2,,,,,,rahvahaal_delfi_ee.ela_135048.txt et_wikipedia_org.ela_519819.txt
,infotihedus,2,2,2,,,,,,,,rahvahaal_delfi_ee.ela_135048.txt et_wikipedia_org.ela_519819.txt
,aja olulisus,1,2,2,3,2,2,2,,,,rahvahaal_delfi_ee.ela_135048.txt et_wikipedia_org.ela_519819.txt
,afektiivsus,3,3,2,3,3,3,3,3,3,3,www_xn--eestimngula-q8a_ee.ela_40079.txt et_wikipedia_org.ela_519819.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,3,2,2,3,3,3,3,3,3,3,www_xn--eestimngula-q8a_ee.ela_40079.txt et_wikipedia_org.ela_519819.txt
,instrueerivus,3,,,,,,,,,,www_eestikirik_ee.ela_530609.txt
,keerukus,3,3,1,2,2,1,,,,,rahvahaal_delfi_ee.ela_135048.txt www_eestikirik_ee.ela_530609.txt
,subjektiivsus,2,3,3,3,3,,,,,,rahvahaal_delfi_ee.ela_135048.txt www_eestikirik_ee.ela_530609.txt
,spontaansus,3,3,3,3,3,3,3,3,3,3,www_eestikirik_ee.ela_530609.txt www_xn--eestimngula-q8a_ee.ela_40079.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,2,1,2,,,,,,,,www_xn--eestimngula-q8a_ee.ela_40079.txt
et_wikipedia_org.ela_519819.txt,abstraktsus,2,1,3,1,,,,,,,et_wikipedia_org.ela_624820.txt www_mulje_ee.ela_177932.txt
,infotihedus,2,3,2,1,,,,,,,www_mulje_ee.ela_177932.txt
,aja olulisus,1,1,,,,,,,,,et_wikipedia_org.ela_624820.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,1,2,2,2,2,2,2,,,,www_mulje_ee.ela_177932.txt www_lounaleht_ee.ela_576969.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,2,2,1,3,2,,,,,sport_autonet_ee.ela_515760.txt et_wikipedia_org.ela_624820.txt
,keerukus,1,2,2,,,,,,,,sport_autonet_ee.ela_515760.txt et_wikipedia_org.ela_624820.txt
,subjektiivsus,2,,,,,,,,,,sport_autonet_ee.ela_515760.txt
,spontaansus,1,,,,,,,,,,www_lounaleht_ee.ela_576969.txt
,impersonaalsus,2,2,2,1,2,3,,,,,sport_autonet_ee.ela_515760.txt www_lounaleht_ee.ela_576969.txt
,argumentatiivsus,2,2,2,2,2,1,1,,,,sport_autonet_ee.ela_515760.txt www_lounaleht_ee.ela_576969.txt
www_jeesusekristusekirik_ee.ela_65555.txt,abstraktsus,2,1,1,,,,,,,,www_kv_ee.ela_199481.txt
,infotihedus,1,1,2,1,,,,,,,www_eestikirik_ee.ela_530609.txt
,aja olulisus,1,2,1,2,2,,,,,,www_eestikirik_ee.ela_530609.txt www_kv_ee.ela_199481.txt
,afektiivsus,1,1,1,1,,,,,,,www_kv_ee.ela_199481.txt
,formaalsus,1,1,1,1,,,,,,,blablabla_ee.ela_504829.txt www_kv_ee.ela_199481.txt
,interaktiivsus,2,1,,,,,,,,,blablabla_ee.ela_504829.txt www_kv_ee.ela_199481.txt
,instrueerivus,2,,,,,,,,,,www_eestikirik_ee.ela_530609.txt
,keerukus,3,1,1,,,,,,,,www_eestikirik_ee.ela_530609.txt www_politsei_ee.ela_40109.txt
,subjektiivsus,1,1,,,,,,,,,www_politsei_ee.ela_40109.txt
,spontaansus,2,2,,,,,,,,,blablabla_ee.ela_504829.txt
,impersonaalsus,3,1,1,,,,,,,,blablabla_ee.ela_504829.txt
,argumentatiivsus,,,,,,,,,,,
www_kv_ee.ela_199481.txt,abstraktsus,1,,,,,,,,,,www_jeesusekristusekirik_ee.ela_65555.txt
,infotihedus,3,3,3,3,3,2,3,3,,,www_jeesusekristusekirik_ee.ela_65555.txt www_puuinfo_ee.ela_279876.txt
,aja olulisus,2,2,1,2,1,,,,,,www_jeesusekristusekirik_ee.ela_65555.txt www_puuinfo_ee.ela_279876.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,1,3,,,,,,,www_politsei_ee.ela_163441.txt www_jeesusekristusekirik_ee.ela_65555.txt
,interaktiivsus,2,2,,,,,,,,,www_politsei_ee.ela_163441.txt www_jeesusekristusekirik_ee.ela_65555.txt
,instrueerivus,1,2,,,,,,,,,video_usk_ee.ela_152445.txt
,keerukus,1,2,1,,,,,,,,www_puuinfo_ee.ela_279876.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,2,1,1,2,2,,,,,,www_politsei_ee.ela_163441.txt video_usk_ee.ela_152445.txt
,impersonaalsus,3,3,3,2,3,3,3,3,3,,www_politsei_ee.ela_163441.txt video_usk_ee.ela_152445.txt
,argumentatiivsus,,,,,,,,,,,
www_admiralmarkets_ee.ela_456804.txt,abstraktsus,2,1,1,1,1,2,3,,,,ekspress_online_2020.txt www_linnateater_ee.ela_612249.txt
,infotihedus,3,2,3,2,1,2,2,1,2,3,ekspress_online_2020.txt www_linnateater_ee.ela_612249.txt
,aja olulisus,2,1,2,1,1,1,,,,,ekspress_online_2020.txt www_linnateater_ee.ela_612249.txt
,afektiivsus,2,3,1,,,,,,,,ekspress_online_2020.txt
,formaalsus,1,1,1,2,2,1,,,,,ekspress_online_2020.txt www_dragon_ee.ela_303548.txt
,interaktiivsus,1,,,,,,,,,,ekspress_online_2020.txt
,instrueerivus,1,2,,,,,,,,,uuseesti_ee.ela_112397.txt www_linnateater_ee.ela_612249.txt
,keerukus,1,3,2,3,1,1,1,,,,uuseesti_ee.ela_112397.txt www_linnateater_ee.ela_612249.txt
,subjektiivsus,2,1,1,3,,,,,,,uuseesti_ee.ela_112397.txt
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,1,3,3,1,2,,,,,uuseesti_ee.ela_112397.txt www_dragon_ee.ela_303548.txt
,argumentatiivsus,2,2,1,1,3,1,3,,,,uuseesti_ee.ela_112397.txt www_dragon_ee.ela_303548.txt
ekspress_online_2020.txt,abstraktsus,,,,,,,,,,,
,infotihedus,1,,,,,,,,,,www_ajakiri_ut_ee.ela_429007.txt
,aja olulisus,1,2,1,1,2,1,,,,,www_ajakiri_ut_ee.ela_429007.txt www_admiralmarkets_ee.ela_456804.txt
,afektiivsus,1,1,,,,,,,,,www_admiralmarkets_ee.ela_456804.txt
,formaalsus,2,,,,,,,,,,www_linnaleht_ee.ela_420357.txt
,interaktiivsus,2,,,,,,,,,,www_admiralmarkets_ee.ela_456804.txt
,instrueerivus,,,,,,,,,,,
,keerukus,,,,,,,,,,,
,subjektiivsus,1,1,1,1,2,,,,,,www_employers_ee.ela_617415.txt www_ajakiri_ut_ee.ela_429007.txt
,spontaansus,1,,,,,,,,,,www_employers_ee.ela_617415.txt
,impersonaalsus,1,1,1,1,,,,,,,www_employers_ee.ela_617415.txt www_linnaleht_ee.ela_420357.txt
,argumentatiivsus,,,,,,,,,,,
www_meiekirik_ee.ela_286284.txt,abstraktsus,2,1,1,2,1,2,1,2,,,www_alphagis_ee.ela_403490.txt www_helen_ee.ela_520035.txt
,infotihedus,,,,,,,,,,,
,aja olulisus,2,,,,,,,,,,www_alphagis_ee.ela_403490.txt
,afektiivsus,1,2,1,1,1,,,,,,www_unesco_ee.ela_630384.txt www_helen_ee.ela_520035.txt
,formaalsus,2,1,,,,,,,,,www_helen_ee.ela_520035.txt
