tekst,dimensioon,vastaja 1,vastaja 2,vastaja 3,vastaja 4,vastaja 5,vastaja 6,vastaja 7,vastaja 8,vastaja 9,vastaja 10,võrdlused
,spontaansus,1,,,,,,,,,,www_eestisport_ee.ela_196071.txt
,impersonaalsus,2,3,,,,,,,,,toompark_pri_ee.ela_458650.txt www_eestisport_ee.ela_196071.txt
,argumentatiivsus,2,,,,,,,,,,www_eestisport_ee.ela_196071.txt
www_tarbijakaitse_ee.ela_199918.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,2,2,1,1,,,,,,www_tallegg_ee.ela_33687.txt www_vorumaateataja_ee.ela_494965.txt
,aja olulisus,1,1,1,2,1,1,1,,,,www_tallegg_ee.ela_33687.txt www_vorumaateataja_ee.ela_494965.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,2,,,,,,,,www_tallegg_ee.ela_33687.txt
,interaktiivsus,1,2,1,,,,,,,,www_tallegg_ee.ela_33687.txt www_employers_ee.ela_617415.txt
,instrueerivus,1,1,,,,,,,,,rahvahaal_delfi_ee.ela_388979.txt
,keerukus,1,1,1,1,1,,,,,,rahvahaal_delfi_ee.ela_388979.txt www_vorumaateataja_ee.ela_494965.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,3,3,2,2,,,,,,www_employers_ee.ela_617415.txt rahvahaal_delfi_ee.ela_388979.txt
,argumentatiivsus,2,2,,,,,,,,,www_employers_ee.ela_617415.txt
www_lemmik_ee.ela_519214.txt,abstraktsus,1,,,,,,,,,,no_spam_ee.ela_2227.txt
,infotihedus,1,1,1,,,,,,,,www_soudeliit_ee.ela_547578.txt
,aja olulisus,2,,,,,,,,,,no_spam_ee.ela_2227.txt
,afektiivsus,1,1,1,2,1,,,,,,www_soudeliit_ee.ela_547578.txt
,formaalsus,2,,,,,,,,,,static_inimene_ee.ela_194968.txt
,interaktiivsus,1,3,1,1,1,1,1,,,,www_soudeliit_ee.ela_547578.txt static_inimene_ee.ela_194968.txt
,instrueerivus,,,,,,,,,,,
,keerukus,,,,,,,,,,,
,subjektiivsus,2,1,,,,,,,,,www_hambaarst_ee.ela_423040.txt
