file_id,abs,afek,aeg,arg,form,imp,info,inst,inter,keer,spont,subj,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
static_inimene_ee.ela_194968,0.80,0.10,0.80,1.45,1.25,2.70,1.30,0.50,0.00,0.80,0.35,0.30,0.3786,0.0857,0.0071,0.0571,0.0071,0.1071,0.0286,0.0571,0.0214,0.0071,0.1357,0.0071,0.0071,0.0286,0.0071,0.5357,6.4500,17.5000,0.2786,0.0755,0.0143,0.0143,0.0071,0.0071,0.0071,0.1643,0.0143,0.0071,0.0071,0.1429,0.0571,2.3750,0.0286,0.0143,0.0071,0.0357,0.1643,0.0143,0.1429,0.0071,0.0071,0.0071,0.0071,0.2143,0.2214,0.0143,0.0143,0.0286,0.0071,0.0071,0.0214,0.0071,0.0071,0.0071,0.0071,0.0071,0.0143,0.1071,0.0286,0.0143,0.0143,0.0071,0.0071,0.0214,0.1071,0.0071,0.0643,0.1429,0.0071,0.0071,0.0357,0.0357,0.0071,0.0429,0.1357,0.1071
stiimul_ee.ela_330566,0.55,0.55,0.15,0.60,1.05,0.80,1.50,0.00,1.20,0.45,0.20,0.70,0.2829,0.0855,0.0724,0.1382,0.0066,0.0592,0.0197,0.0395,0.0132,0.0132,0.1513,0.0066,0.0066,0.0461,0.0197,0.7303,5.9934,19.0000,0.5329,0.1628,0.0066,0.0066,0.0132,0.0066,0.0132,0.1382,0.0395,0.0066,0.0066,0.1053,0.0724,1.8889,0.0132,0.0066,0.0132,0.0526,0.1118,0.0592,0.1184,0.0066,0.0066,0.0066,0.0132,0.2171,0.1382,0.0197,0.0197,0.0132,0.0066,0.0197,0.0263,0.0066,0.0132,0.0066,0.0066,0.0132,0.0395,0.0658,0.0461,0.0263,0.0197,0.0066,0.0066,0.0329,0.0658,0.0197,0.1118,0.0789,0.0197,0.0066,0.0263,0.0132,0.0066,0.0461,0.0855,0.0592
toompark_pri_ee.ela_458650,1.30,2.30,0.45,1.10,0.30,0.40,0.55,1.05,0.65,0.35,1.50,2.90,0.1471,0.0588,0.1078,0.1863,0.0098,0.0392,0.0196,0.0294,0.0294,0.0098,0.1471,0.0098,0.0098,0.1078,0.0098,0.7647,5.0294,12.7500,0.6373,0.7333,0.0392,0.0098,0.0196,0.0098,0.0294,0.2059,0.0098,0.0294,0.0098,0.0980,0.1569,1.3000,0.0392,0.0098,0.0196,0.0686,0.1373,0.0686,0.1373,0.0098,0.0098,0.0098,0.0294,0.1863,0.0882,0.0490,0.0196,0.0196,0.0294,0.0098,0.0294,0.0098,0.0392,0.0098,0.0098,0.0196,0.0294,0.0784,0.0196,0.0980,0.0098,0.0196,0.0098,0.0686,0.0392,0.0294,0.0882,0.0490,0.0196,0.0098,0.0392,0.0196,0.0098,0.0294,0.0784,0.0392
unitedkiters_ee.ela_78733,0.90,2.40,0.90,0.65,0.70,0.65,0.80,0.45,0.20,1.10,1.80,1.65,0.2632,0.1203,0.0150,0.1579,0.0075,0.0827,0.0226,0.0301,0.0301,0.0451,0.1053,0.0075,0.0075,0.0451,0.0150,0.7669,4.9023,12.0900,0.6241,0.1714,0.0000,0.0075,0.0075,0.0075,0.0075,0.1353,0.0150,0.0075,0.0075,0.1053,0.0902,3.0000,0.0150,0.0150,0.0226,0.0150,0.0451,0.0902,0.1203,0.0075,0.0075,0.0075,0.0226,0.2406,0.0752,0.0677,0.0226,0.0301,0.0301,0.0075,0.0150,0.0075,0.0075,0.0075,0.0075,0.0075,0.0451,0.0376,0.0526,0.0451,0.0075,0.0075,0.0150,0.0301,0.0902,0.0150,0.0602,0.0902,0.0075,0.0451,0.0677,0.0150,0.0075,0.0526,0.0977,0.0827
untitled,1.55,1.60,0.80,0.35,0.35,0.90,0.70,0.80,0.30,0.30,0.40,0.20,0.2895,0.1140,0.0877,0.1053,0.0088,0.0614,0.0351,0.0351,0.0263,0.0263,0.1316,0.0088,0.0088,0.0702,0.0088,0.8158,5.3158,19.0000,0.6754,0.2424,0.0088,0.0263,0.0263,0.0088,0.0263,0.1316,0.0175,0.0439,0.0088,0.0789,0.0439,4.0000,0.0088,0.0088,0.0088,0.0351,0.0614,0.0877,0.1140,0.0088,0.0088,0.0088,0.0088,0.1228,0.1754,0.0965,0.0088,0.0175,0.0702,0.0175,0.0614,0.0088,0.0351,0.0088,0.0088,0.0088,0.0351,0.0614,0.0175,0.0088,0.0263,0.0088,0.0088,0.0789,0.0614,0.0263,0.1404,0.1053,0.0175,0.0175,0.0877,0.0263,0.0088,0.0175,0.0614,0.0614
uudised_err_ee.ela_541051,0.60,1.05,0.30,1.50,0.60,0.95,1.15,0.40,0.55,0.75,0.20,0.95,0.2549,0.1078,0.0735,0.0882,0.0049,0.0196,0.0245,0.0392,0.0294,0.0196,0.1765,0.0049,0.0049,0.0539,0.0098,0.6912,5.4510,20.4000,0.4069,0.2115,0.0147,0.0147,0.0098,0.0049,0.0196,0.1275,0.0196,0.0098,0.0049,0.0833,0.0735,1.7500,0.0294,0.0049,0.0098,0.0343,0.0588,0.0833,0.1029,0.0098,0.0049,0.0049,0.0196,0.1912,0.1078,0.0784,0.0147,0.0490,0.0196,0.0098,0.0392,0.0049,0.0098,0.0049,0.0049,0.0049,0.0147,0.0588,0.0343,0.0539,0.0147,0.0049,0.0049,0.0441,0.0196,0.0049,0.1520,0.0588,0.0196,0.0196,0.0882,0.0196,0.0049,0.0294,0.0294,0.0196
uuseesti_ee.ela_112397,0.60,0.50,0.80,0.45,2.00,1.75,1.25,0.35,0.50,1.00,0.50,0.25,0.3133,0.1084,0.2048,0.1084,0.0120,0.0482,0.0241,0.0120,0.0120,0.0241,0.0964,0.0120,0.0120,0.0361,0.0723,0.7711,7.5060,27.6700,0.6265,0.1154,0.0000,0.0120,0.0120,0.0120,0.0120,0.1325,0.0120,0.0120,0.0120,0.1084,0.0361,3.0000,0.0361,0.0120,0.0120,0.0241,0.0843,0.0602,0.1205,0.0120,0.0120,0.0120,0.0241,0.1928,0.1928,0.0723,0.0361,0.0361,0.0120,0.0602,0.0602,0.0120,0.0241,0.0120,0.0120,0.0120,0.0120,0.1205,0.0120,0.0241,0.0241,0.0120,0.0120,0.0723,0.0482,0.0361,0.1325,0.2048,0.0241,0.0241,0.0843,0.0241,0.0120,0.0120,0.0723,0.0482
valitsus_ee.ela_132104,0.60,0.50,0.50,1.40,2.40,2.40,1.80,1.00,0.20,1.10,0.30,0.25,0.4593,0.1259,0.0370,0.0370,0.0074,0.0741,0.0148,0.0148,0.0222,0.0074,0.1259,0.0074,0.0074,0.0444,0.0074,0.7259,7.7704,19.2900,0.5630,0.0968,0.0148,0.0074,0.0074,0.0074,0.0074,0.1185,0.0593,0.0074,0.0074,0.0593,0.0222,0.5882,0.0370,0.0148,0.0074,0.0963,0.1407,0.0370,0.0815,0.0074,0.0074,0.0074,0.0074,0.1037,0.2889,0.1259,0.0074,0.0519,0.0296,0.0222,0.0148,0.0148,0.0148,0.0074,0.0074,0.0074,0.0370,0.0444,0.0148,0.0148,0.0296,0.0074,0.0074,0.1185,0.0741,0.0222,0.0889,0.2074,0.0074,0.0074,0.0444,0.0074,0.0074,0.0148,0.1037,0.0741
valitsus_ee.ela_480708,1.50,1.90,0.50,1.15,0.70,0.65,0.85,0.70,0.85,0.45,0.25,1.90,0.1882,0.0431,0.0824,0.1059,0.0039,0.0549,0.0275,0.0314,0.0314,0.0196,0.1294,0.0039,0.0039,0.1294,0.0078,0.6549,4.9569,17.0000,0.3882,0.6875,0.0039,0.0078,0.0588,0.0039,0.0118,0.1333,0.0235,0.0431,0.0039,0.0549,0.0745,2.0000,0.0392,0.0078,0.0118,0.0196,0.0902,0.0588,0.1294,0.0039,0.0039,0.0039,0.0275,0.1294,0.1529,0.0471,0.0078,0.0353,0.0157,0.0392,0.0235,0.0039,0.0314,0.0039,0.0039,0.0039,0.0078,0.0667,0.0196,0.0392,0.0314,0.0118,0.0039,0.0471,0.0627,0.0353,0.1216,0.0941,0.0078,0.0118,0.0235,0.0235,0.0039,0.0235,0.0667,0.0549
valitsus_ee.ela_604239,1.50,0.35,0.40,1.00,2.05,2.40,1.65,1.20,0.30,1.50,0.25,0.45,0.3518,0.1186,0.1423,0.0553,0.0040,0.0711,0.0119,0.0237,0.0119,0.0040,0.1186,0.0040,0.0040,0.0198,0.0632,0.6680,7.5573,19.4600,0.4348,0.0562,0.0000,0.0040,0.0040,0.0040,0.0040,0.1028,0.0277,0.0040,0.0040,0.0672,0.0395,1.1176,0.0237,0.0040,0.0079,0.0474,0.0949,0.0316,0.0751,0.0079,0.0040,0.0040,0.0040,0.1462,0.2806,0.0830,0.0040,0.0593,0.0079,0.0119,0.0079,0.0040,0.0316,0.0040,0.0040,0.0040,0.0158,0.0474,0.0158,0.0119,0.0119,0.0040,0.0079,0.0751,0.0751,0.0040,0.0751,0.2411,0.0040,0.0040,0.0711,0.0119,0.0040,0.0198,0.0909,0.0711
video_usk_ee.ela_152445,1.15,0.80,0.40,2.15,0.10,1.30,0.55,0.15,0.35,0.20,0.30,2.30,0.2663,0.0854,0.0603,0.1256,0.0050,0.0603,0.0151,0.0302,0.0302,0.0050,0.1910,0.0050,0.0050,0.0452,0.0151,0.5528,4.6935,19.9000,0.3417,0.1698,0.0251,0.0201,0.0151,0.0050,0.0050,0.1106,0.0201,0.0050,0.0050,0.0704,0.0955,2.2500,0.0101,0.0101,0.0151,0.0251,0.0955,0.0251,0.0905,0.0101,0.0050,0.0050,0.0201,0.1809,0.1357,0.0352,0.0101,0.0603,0.0201,0.0151,0.0101,0.0050,0.0050,0.0050,0.0151,0.0050,0.0201,0.0352,0.0452,0.0302,0.0050,0.0101,0.0050,0.0251,0.0653,0.0151,0.0553,0.0955,0.0151,0.0050,0.0553,0.0251,0.0050,0.0553,0.0854,0.0603
www_3dnews_ee.ela_435253,1.00,0.05,0.55,0.55,1.70,2.60,2.25,1.15,0.10,1.70,0.00,0.55,0.2836,0.0896,0.1045,0.0821,0.0075,0.0299,0.0075,0.0224,0.0373,0.0448,0.1567,0.0075,0.0075,0.0299,0.0149,0.7090,6.0970,14.8900,0.5448,0.1053,0.0000,0.0149,0.0075,0.0075,0.0075,0.1269,0.0522,0.0075,0.0075,0.0970,0.0896,0.8235,0.0672,0.0149,0.0149,0.0597,0.1269,0.0448,0.1119,0.0075,0.0075,0.0075,0.0149,0.1940,0.1269,0.1269,0.0224,0.0448,0.0149,0.0075,0.0149,0.0075,0.0149,0.0075,0.0149,0.0075,0.0149,0.0448,0.0224,0.0672,0.0224,0.0075,0.0075,0.0896,0.0299,0.0149,0.1045,0.0522,0.0448,0.0224,0.0522,0.0224,0.0075,0.0224,0.0672,0.0299
